Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
04/01,0.318000524811041,0.247966651667773,0.263507847779452,0.220428011041705
04/02,0.337776907125839,0.247966651667773,0.2772930169789,0.220428011041705
04/03,0.337776907125839,0.247966651667773,0.2772930169789,0.220428011041705
04/04,0.328607857143523,0.247966651667773,0.270901711259156,0.220428011041705
04/07,0.20140976180062,0.247966651667773,0.182238009362704,0.220428011041705
04/08,0.144903243968431,0.247966651667773,0.142850021368281,0.220428011041705
04/09,0.300539231732125,0.247966651667773,0.251336416437638,0.220428011041705
04/10,0.290330424255975,0.231151429771193,0.243985123723651,0.209515618493541
04/11,0.290330424255975,0.231151429771193,0.243985123723651,0.209515618493541
04/14,0.290330424255975,0.231151429771193,0.243985123723651,0.209515618493541
04/15,0.290330424255975,0.231151429771193,0.243985123723651,0.209515618493541
04/16,0.252263128776189,0.231151429771193,0.217121886099618,0.209515618493541
04/17,0.252263128776189,0.231151429771193,0.217121886099618,0.209515618493541
04/18,0.252263128776189,0.231151429771193,0.217121886099618,0.209515618493541
04/21,0.252263128776189,0.231151429771193,0.217121886099618,0.209515618493541
04/22,0.252263128776189,0.231151429771193,0.217121886099618,0.209515618493541
04/23,0.230437879367778,0.231151429771193,0.201720296528506,0.209515618493541
04/24,0.230437879367778,0.231151429771193,0.201720296528506,0.209515618493541
04/25,0.230437879367778,0.231151429771193,0.201720296528506,0.209515618493541
04/28,0.230437879367778,0.231151429771193,0.201720296528506,0.209515618493541
04/29,0.230437879367778,0.231151429771193,0.201720296528506,0.209515618493541
04/30,0.217748780874516,0.231151429771193,0.200887670494648,0.217902973574304
